time,data
1094341485,95.7
1094351485,95.7
1094361485,95.7
1094371485,95.7
1094381485,95.7
1094391485,95.7
1094401485,95.7
1094411485,95.7
1094421485,95.7
1094431485,95.7
1094441485,95.7
1094451485,98.4
1094461485,98.4
1094471485,98.4
1094481485,98.4
1094491485,98.4
1094501485,98.4
1094511485,98.4
1094521485,98.4
1094531485,98.4
1094541485,98.4
1094551485,98.4
1094561485,98.4
1094571485,98.4
1094581485,98.4
1094591485,98.4
1094601485,98.4
1094611485,98.4
1094621485,98.4
1094631485,98.4
1094641485,98.4
1094651485,98.4
1094661485,98.4
1094671485,98.4
1094681485,98.4
1094691485,98.4
1094701485,98.4
1094711485,98.4
1094721485,98.4
1094731485,98.4
1094741485,98.4
1094751485,98.4
1094761485,98.4
1094771485,98.4
1094781485,98.4
1094791485,98.4
1094801485,98.4
1094811485,98.4
1094821485,98.4
1094831485,98.4
1094841485,98.4
1094851485,98.4
1094861485,98.4
1094871485,98.4
1094881485,98.4
1094891485,98.4
1094901485,98.4
1094911485,98.4
1094921485,98.4
1094931485,98.4
1094941485,98.4
1094951485,98.4
1094961485,98.4
1094971485,98.4
1094981485,98.4
1094991485,98.4
1095001485,98.4
1095011485,98.4
1095021485,98.4
1095031485,98.4
1095041485,98.4
1095051485,98.4
1095061485,98.4
1095071485,98.4
1095081485,98.4
1095091485,98.4
1095101485,98.4
1095111485,98.4
1095121485,98.4
1095131485,98.4
1095141485,98.4
1095151485,98.4
1095161485,98.4
1095171485,98.4
1095181485,98.4
1095191485,98.4
1095201485,98.4
1095211485,98.4
1095221485,98.4
1095231485,98.4
1095241485,98.4
1095251485,98.4
1095261485,98.4
1095271485,98.4
1095281485,98.4
1095291485,98.4
1095301485,98.4
1095311485,98.4
1095321485,98.4
1095331485,98.4
1095341485,98.4
1095351485,98.4
1095361485,98.4
1095371485,98.4
1095381485,98.4
1095391485,98.4
1095401485,98.4
1095411485,98.4
1095421485,98.4
1095431485,98.4
1095441485,98.4
1095451485,98.3
1095461485,98.3
1095471485,98.3
1095481485,98.3
1095491485,98.3
1095501485,98.3
1095511485,98.3
1095521485,98.3
1095531485,98.3
1095541485,98.3
1095551485,98.3
1095561485,98.3
1095571485,98.3
1095581485,98.3
1095591485,98.3
1095601485,98.3
1095611485,98.3
1095621485,98.3
1095631485,98.3
1095641485,98.3
1095651485,98.3
1095661485,98.3
1095671485,98.3
1095681485,98.3
1095691485,98.3
1095701485,98.3
1095711485,98.3
1095721485,98.3
1095731485,98.3
1095741485,98.3
1095751485,98.3
1095761485,98.3
1095771485,98.3
1095781485,98.3
1095791485,98.3
1095801485,98.3
1095811485,98.3
1095821485,98.3
1095831485,98.3
1095841485,98.3
1095851485,98.3
1095861485,98.3
1095871485,98.3
1095881485,98.3
1095891485,98.3
1095901485,98.3
1095911485,98.3
1095921485,98.3
1095931485,98.3
1095941485,98.3
1095951485,98.3
1095961485,98.3
1095971485,98.3
1095981485,98.3
1095991485,98.3
1096001485,98.3
1096011485,98.3
1096021485,98.3
1096031485,98.3
1096041485,98.3
1096051485,98.3
1096061485,98.3
1096071485,98.3
1096081485,98.3
1096091485,98.3
1096101485,98.3
1096111485,98.3
1096121485,98.3
1096131485,98.3
1096141485,98.3
1096151485,98.3
1096161485,98.3
1096171485,98.3
1096181485,98.3
1096191485,98.3
1096201485,98.3
1096211485,98.3
1096221485,98.3
1096231485,98.3
1096241485,98.3
1096251485,98.3
1096261485,98.3
1096271485,98.3
1096281485,98.3
1096291485,98.3
1096301485,98.3
1096311485,98.3
1096321485,98.3
1096331485,98.3
1096341485,98.3
1096351485,98.3
1096361485,98.3
1096371485,98.3
1096381485,98.3
1096391485,98.3
1096401485,98.3
1096411485,98.3
1096421485,98.3
1096431485,98.3
1096441485,98.3
1096451485,96.8
1096461485,96.8
1096471485,96.8
1096481485,96.8
1096491485,96.8
1096501485,96.8
1096511485,96.8
1096521485,96.8
1096531485,96.8
1096541485,96.8
1096551485,96.8
1096561485,96.8
1096571485,96.8
1096581485,96.8
1096591485,96.8
1096601485,96.8
1096611485,96.8
1096621485,96.8
1096631485,96.8
1096641485,96.8
1096651485,96.8
1096661485,96.8
1096671485,96.8
1096681485,96.8
1096691485,96.8
1096701485,96.8
1096711485,96.8
1096721485,96.8
1096731485,96.8
1096741485,96.8
1096751485,96.8
1096761485,96.8
1096771485,96.8
1096781485,96.8
1096791485,96.8
1096801485,96.8
1096811485,96.8
1096821485,96.8
1096831485,96.8
1096841485,96.8
1096851485,96.8
1096861485,96.8
1096871485,96.8
1096881485,96.8
1096891485,96.8
1096901485,96.8
1096911485,96.8
1096921485,96.8
1096931485,96.8
1096941485,96.8
1096951485,96.8
1096961485,96.8
1096971485,96.8
1096981485,96.8
1096991485,96.8
1097001485,96.8
1097011485,96.8
1097021485,96.8
1097031485,96.8
1097041485,96.8
1097051485,96.8
1097061485,96.8
1097071485,96.8
1097081485,96.8
1097091485,96.8
1097101485,96.8
1097111485,96.8
1097121485,96.8
1097131485,96.8
1097141485,96.8
1097151485,96.8
1097161485,96.8
1097171485,96.8
1097181485,96.8
1097191485,96.8
1097201485,96.8
1097211485,96.8
1097221485,96.8
1097231485,96.8
1097241485,96.8
1097251485,96.8
1097261485,96.8
1097271485,96.8
1097281485,96.8
1097291485,96.8
1097301485,96.8
1097311485,96.8
1097321485,96.8
1097331485,96.8
1097341485,96.8
1097351485,96.8
1097361485,96.8
1097371485,96.8
1097381485,96.8
1097391485,96.8
1097401485,96.8
1097411485,96.8
1097421485,96.8
1097431485,96.8
1097441485,96.8
1097451485,100.0
1097461485,100.0
1097471485,100.0
1097481485,100.0
1097491485,100.0
1097501485,100.0
1097511485,100.0
1097521485,100.0
1097531485,100.0
1097541485,100.0
1097551485,100.0
1097561485,100.0
1097571485,100.0
1097581485,100.0
1097591485,100.0
1097601485,100.0
1097611485,100.0
1097621485,100.0
1097631485,100.0
1097641485,100.0
1097651485,100.0
1097661485,100.0
1097671485,100.0
1097681485,100.0
1097691485,100.0
1097701485,100.0
1097711485,100.0
1097721485,100.0
1097731485,100.0
1097741485,100.0
1097751485,100.0
1097761485,100.0
1097771485,100.0
1097781485,100.0
1097791485,100.0
1097801485,100.0
1097811485,100.0
1097821485,100.0
1097831485,100.0
1097841485,100.0
1097851485,100.0
1097861485,100.0
1097871485,100.0
1097881485,100.0
1097891485,100.0
1097901485,100.0
1097911485,100.0
1097921485,100.0
1097931485,100.0
1097941485,100.0
1097951485,100.0
1097961485,100.0
1097971485,100.0
1097981485,100.0
1097991485,100.0
1098001485,100.0
1098011485,100.0
1098021485,100.0
1098031485,100.0
1098041485,100.0
1098051485,100.0
1098061485,100.0
1098071485,100.0
1098081485,100.0
1098091485,100.0
1098101485,100.0
1098111485,100.0
1098121485,100.0
1098131485,100.0
1098141485,100.0
1098151485,100.0
1098161485,100.0
1098171485,100.0
1098181485,100.0
1098191485,100.0
1098201485,100.0
1098211485,100.0
1098221485,100.0
1098231485,100.0
1098241485,100.0
1098251485,100.0
1098261485,100.0
1098271485,100.0
1098281485,100.0
1098291485,100.0
1098301485,100.0
1098311485,100.0
1098321485,100.0
1098331485,100.0
1098341485,100.0
1098351485,100.0
1098361485,100.0
1098371485,100.0
1098381485,100.0
1098391485,100.0
1098401485,100.0
1098411485,100.0
1098421485,100.0
1098431485,100.0
1098441485,100.0
1098451485,100.0
1098461485,100.0
1098471485,100.0
1098481485,100.0
1098491485,100.0
1098501485,100.0
1098511485,100.0
1098521485,100.0
1098531485,100.0
1098541485,100.0
1098551485,100.0
1098561485,100.0
1098571485,100.0
1098581485,100.0
1098591485,100.0
1098601485,100.0
1098611485,100.0
1098621485,100.0
1098631485,100.0
1098641485,100.0
1098651485,100.0
1098661485,100.0
1098671485,100.0
1098681485,100.0
1098691485,100.0
1098701485,100.0
1098711485,100.0
1098721485,100.0
1098731485,100.0
1098741485,100.0
1098751485,100.0
1098761485,100.0
1098771485,100.0
1098781485,100.0
1098791485,100.0
1098801485,100.0
1098811485,100.0
1098821485,100.0
1098831485,100.0
1098841485,100.0
1098851485,100.0
1098861485,100.0
1098871485,100.0
1098881485,100.0
1098891485,100.0
1098901485,100.0
1098911485,100.0
1098921485,100.0
1098931485,100.0
1098941485,100.0
1098951485,100.0
1098961485,100.0
1098971485,100.0
1098981485,100.0
1098991485,100.0
1099001485,100.0
1099011485,100.0
1099021485,100.0
1099031485,100.0
1099041485,100.0
1099051485,100.0
1099061485,100.0
1099071485,100.0
1099081485,100.0
1099091485,100.0
1099101485,100.0
1099111485,100.0
1099121485,100.0
1099131485,100.0
1099141485,100.0
1099151485,100.0
1099161485,100.0
1099171485,100.0
1099181485,100.0
1099191485,100.0
1099201485,100.0
1099211485,100.0
1099221485,100.0
1099231485,100.0
1099241485,100.0
1099251485,100.0
1099261485,100.0
1099271485,100.0
1099281485,100.0
1099291485,100.0
1099301485,100.0
1099311485,100.0
1099321485,100.0
1099331485,100.0
1099341485,100.0
